Rep Detail Report V2: Betsy Goslin,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
140,2599673.28,2527461.42,0,0.0,0,0.0,0,0.0,6,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,23,1140722.78,0,0,,,,,,,,,,
Group 1 Medium Potential: ,20,643701.1,0,0,,,,,,,,,,
Group 2 Medium Potential: ,51,400198.43,0,0,,,,,,,,,,
Group 2 High Potential: ,28,328451.75,0,0,,,,,,,,,,
Group 3 Medium Potential: ,5,6434.0,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,2985.66,0,0,,,,,,,,,,
Group 3 Low Potential: ,11,2966.0,0,0,,,,,,,,,,
Group 3 High Potential: ,1,2001.7,0,0,,,,,,,,,,
Totals,140,2527461.42,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts | $1784423.88 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1011149,Davis Development,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,33850.0,30769.6,20,13,FALSE,N,FALSE,FALSE,N
1002512,DEI - Design Environments,DESIGN,HOSPITALITY,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,32433.2,29688.8,91,43,FALSE,N,FALSE,FALSE,N
1013537,Woods Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,35005.6,27991.5,32,25,FALSE,N,FALSE,FALSE,N
1009357,Meridy King Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,19276.0,26447.8,11,13,FALSE,N,FALSE,FALSE,N
1027141,The Mahtook Company,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,14506.14,26082.53,3,2,FALSE,N,FALSE,FALSE,N
1007431,Balance Design Atlanta,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,27299.7,25056.46,15,25,FALSE,N,FALSE,FALSE,N
1013523,Mobley Fine Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,20611.7,24211.7,22,20,FALSE,N,FALSE,FALSE,N
1004333,Fabrics and Furnishings,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,27477.9,24012.4,30,27,FALSE,N,FALSE,FALSE,N
1011362,Meriwether Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,6835.0,23992.02,8,14,FALSE,N,FALSE,FALSE,N
1004345,Miko + Boone Home LLC,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,28652.6,23750.44,23,13,FALSE,N,FALSE,FALSE,N
1008035,Forbes Masters,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,38207.5,23704.4,20,31,FALSE,N,FALSE,FALSE,N
1010961,Metal + Petal,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,21625.0,23664.0,26,11,FALSE,N,FALSE,FALSE,N
1018878,Dutchmans Casual Living Athens,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,31393.6,22903.74,44,33,FALSE,N,FALSE,FALSE,N
1003524,"Persnickety Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,9794.0,22694.4,14,11,FALSE,N,FALSE,FALSE,N
1027476,Eleventh & Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,222.5,21615.68,1,7,FALSE,N,FALSE,FALSE,N
1012200,Pierce and Parker Interiors,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,24639.24,21606.4,21,10,FALSE,N,FALSE,FALSE,N
1018684,MALONE OFFICE ENVIRONMENTS,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,12208.0,21201.5,17,5,FALSE,N,FALSE,FALSE,N
1009453,Robinson Home Goods,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,28128.2,19991.09,15,15,FALSE,N,FALSE,FALSE,N
1004415,Southern Heritage Fine Furniture,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Betsy Goslin,Betsy Goslin,15997.0,19385.0,11,11,FALSE,N,FALSE,FALSE,N
1000909,"Hinson Galleries, Inc",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,33886.84,19325.16,13,17,FALSE,N,FALSE,FALSE,N
1000031,Oriental Designer Rugs,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,3700.0,18046.15,5,15,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 80 accounts | $731635.84 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1014599,"Accessorize It! Designs, LLC",RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,5180.0,17842.4,10,18,FALSE,N,FALSE,FALSE,N
1003177,Carolyn Hultman Interior Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,31989.16,17439.76,17,14,FALSE,N,FALSE,FALSE,N
1000646,Custom Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,31065.0,17363.0,52,31,FALSE,N,FALSE,FALSE,N
1004725,Huff Harrington Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,16584.2,17247.0,7,10,FALSE,N,FALSE,FALSE,N
1002838,Inspired Interiors-Georgia LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Betsy Goslin,Betsy Goslin,6661.81,17181.48,8,17,FALSE,N,FALSE,FALSE,N
1001183,"Accessories, Etc-Libby Boyden Interiors",DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,12311.0,16803.0,16,14,FALSE,N,FALSE,FALSE,N
1002215,MFA Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,22288.0,16011.0,12,9,FALSE,N,FALSE,FALSE,N
1025167,"Heather Wren Interiors (HW Interiors, LLC)",DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,18944.5,15930.5,11,5,FALSE,N,FALSE,FALSE,N
1024769,Cachettes + Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,2550.0,15357.0,4,8,FALSE,N,FALSE,FALSE,N
1009765,BMA At Home,DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,23676.06,15149.4,9,11,FALSE,N,FALSE,FALSE,N
1036490,Stanton Home Furnishings,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,0.0,14918.0,0,10,TRUE,N,FALSE,FALSE,N
1005683,The Southern Charmer,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,8456.5,14672.31,6,18,FALSE,N,FALSE,FALSE,N
