Rep Detail Report: Betsy Goslin,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
152,2652431.28,2540597.42,12,13136.0,140,2527461.42,9,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,23,1140722.78,0,,,,,,,,,,
Group 1 Medium Potential: ,20,643701.1,0,,,,,,,,,,
Group 2 Medium Potential: ,51,400198.43,0,,,,,,,,,,
Group 2 High Potential: ,28,328451.75,0,,,,,,,,,,
Group 3 Medium Potential: ,11,16510.0,6,,,,,,,,,,
Group 3 High Potential: ,2,4030.1,1,,,,,,,,,,
Group 3 Low Potential: ,16,3997.6,5,,,,,,,,,,
Group 2 Low Potential: ,1,2985.66,0,,,,,,,,,,
Totals,152,2540597.42,12,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts | 1784423.88 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1006126,"Lott Furniture Company, Inc.",RETAIL,MULTIPLE_LOCATIONS,52905.81,33077.14,29,25,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,5/21/2020,FALSE,65.8,FALSE
1011149,Davis Development,DESIGN,DESIGN_FIRM,33850.0,30769.6,20,13,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/6/2020,FALSE,78.0,FALSE
1002512,DEI - Design Environments,DESIGN,HOSPITALITY,32433.2,29688.8,91,43,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/2/2020,FALSE,66.2,FALSE
1013537,Woods Furniture,RETAIL,SINGLE_LOCATION,35005.6,27991.5,32,25,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/21/2019,FALSE,69.2,FALSE
1009357,Meridy King Interiors,DESIGN,DESIGN_FIRM,19276.0,26447.8,11,13,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/10/2020,FALSE,74.8,FALSE
1027141,The Mahtook Company,DESIGN,DESIGNER_INDEPENDENT,14506.14,26082.53,3,2,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,5/24/2024,FALSE,52.6,FALSE
1007431,Balance Design Atlanta,DESIGN,DESIGN_FIRM,27299.7,25056.46,15,25,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/25/2020,FALSE,68.3,FALSE
1013523,Mobley Fine Furniture,RETAIL,SINGLE_LOCATION,20611.7,24211.7,22,20,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,8/16/2019,FALSE,66.2,FALSE
1004333,Fabrics and Furnishings,RETAIL,SINGLE_LOCATION,27477.9,24012.4,30,27,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,69.2,FALSE
1011362,Meriwether Design Group,DESIGN,DESIGN_FIRM,6835.0,23992.02,8,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/1/2020,FALSE,80.1,FALSE
1004345,Miko + Boone Home LLC,RETAIL,SINGLE_LOCATION,28652.6,23750.44,23,13,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/29/2019,FALSE,62.8,FALSE
1008035,Forbes Masters,DESIGN,DESIGN_FIRM,38207.5,23704.4,20,31,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/19/2020,FALSE,68.3,FALSE
1010961,Metal + Petal,RETAIL,MULTIPLE_LOCATIONS,21625.0,23664.0,26,11,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/20/2020,FALSE,67.7,FALSE
1018878,Dutchmans Casual Living Athens,RETAIL,SINGLE_LOCATION,31393.6,22903.74,44,33,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/30/2021,FALSE,65.6,FALSE
1003524,"Persnickety Interiors, Inc.",RETAIL,SINGLE_LOCATION,9794.0,22694.4,14,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/24/2019,FALSE,80.1,FALSE
1027476,Eleventh & Home,RETAIL,SINGLE_LOCATION,222.5,21615.68,1,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/11/2024,FALSE,87.3,FALSE
1012200,Pierce and Parker Interiors,RETAIL,SINGLE_LOCATION,24639.24,21606.4,21,10,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/9/2020,FALSE,67.6,FALSE
1018684,MALONE OFFICE ENVIRONMENTS,RETAIL,SINGLE_LOCATION,12208.0,21201.5,17,5,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/17/2021,FALSE,72.4,FALSE
1009453,Robinson Home Goods,DESIGN,DESIGN_FIRM,28128.2,19991.09,15,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/8/2020,FALSE,71.5,FALSE
1004415,Southern Heritage Fine Furniture,RETAIL,MULTIPLE_LOCATIONS,15997.0,19385.0,11,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/15/2020,FALSE,70.1,FALSE
1000909,"Hinson Galleries, Inc",RETAIL,SINGLE_LOCATION,33886.84,19325.16,13,17,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/10/2020,FALSE,65.4,FALSE
1000031,Oriental Designer Rugs,RETAIL,SINGLE_LOCATION,3700.0,18046.15,5,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/6/2020,FALSE,80.8,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 80 accounts | 731635.84 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1014599,"Accessorize It! Designs, LLC",RETAIL,SINGLE_LOCATION,5180.0,17842.4,10,18,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2020,FALSE,84.0,FALSE
1003177,Carolyn Hultman Interior Design,DESIGN,DESIGN_FIRM,31989.16,17439.76,17,14,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/13/2020,FALSE,75.3,FALSE
