Rep Detail Report V2: Ted Fall,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:00:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
149,1622456.38,1676378.62,0,0.0,5,3088.0,0,0.0,31,7,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,18,776057.66,0,0,,,,,,,,,,
Group 1 Medium Potential: ,11,325049.67,0,0,,,,,,,,,,
Group 2 Medium Potential: ,44,285248.95,0,0,,,,,,,,,,
Group 2 High Potential: ,24,254696.5,0,0,,,,,,,,,,
Group 2 Low Potential: ,3,20814.5,0,0,,,,,,,,,,
Group 3 High Potential: ,16,7579.14,0,0,,,,,,,,,,
Group 3 Medium Potential: ,7,7293.5,3,0,,,,,,,,,,
Group 3 Low Potential: ,26,-361.3,2,0,,,,,,,,,,
Totals,149,1676378.62,5,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1101107.33 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1013554,"J Martin + Co, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,5882.0,6885.3,5,8,FALSE,N,FALSE,FALSE,N
1038353,Design By Silvia,DESIGN,DESIGN_FIRM,Group 2 High Potential,Ted Fall,Ted Fall,0.0,6749.5,0,3,TRUE,N,FALSE,FALSE,N
1014929,All in a Day Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,7725.0,6722.0,4,4,FALSE,N,FALSE,FALSE,N
1021758,Lauren Griffith Interiors,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Ted Fall,Ted Fall,3529.0,6430.0,3,3,FALSE,N,FALSE,FALSE,N
1038529,Wagners Furniture and Design,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Ted Fall,Ted Fall,0.0,6300.0,0,3,TRUE,N,FALSE,FALSE,N
1006850,Conceptual Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,0.0,5589.0,0,5,FALSE,N,FALSE,FALSE,N
1023308,JC DEVELOPMENT AND DESIGN LLC DBA: HÃ¼GA HOME,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,10310.5,5371.0,4,9,FALSE,N,FALSE,FALSE,N
1027383,Melissa Fischer Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Ted Fall,Ted Fall,0.0,5344.0,0,2,TRUE,N,FALSE,FALSE,N
1008811,"Augusto Fine Rugs, LLC",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Ted Fall,Ted Fall,5429.8,5169.0,8,10,FALSE,N,FALSE,FALSE,N
1022631,Edenbrooke Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,3906.0,5151.9,1,3,FALSE,N,FALSE,FALSE,N
