Rep Detail Report: Lauren Smith,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
214,1678063.5,1623756.33,69,32013.52,145,1591742.81,58,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,22,847817.29,0,,,,,,,,,,
Group 2 Medium Potential: ,50,362619.77,0,,,,,,,,,,
Group 2 High Potential: ,22,191065.0,0,,,,,,,,,,
Group 1 Medium Potential: ,7,167257.06,0,,,,,,,,,,
Group 3 Medium Potential: ,38,43782.96,27,,,,,,,,,,
Group 3 High Potential: ,7,6727.05,1,,,,,,,,,,
Group 3 Low Potential: ,68,4487.2,41,,,,,,,,,,
Totals,214,1623756.33,69,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 1015074.35 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1015766,Laken Design,DESIGN,DESIGN_FIRM,10673.5,21688.9,9,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/6/2020,FALSE,75.0,FALSE
1001381,Diehl Design,DESIGN,DESIGN_FIRM,6226.33,20834.8,9,22,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,84.5,FALSE
1023713,Brightwater Interior Design,DESIGN,DESIGN_FIRM,700.73,20659.0,3,4,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/24/2023,FALSE,80.9,FALSE
1013991,Michelle Gage Interiors LLC,DESIGN,DESIGN_FIRM,35821.47,20064.41,19,20,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/2/2020,FALSE,65.0,FALSE
1010174,"Design Manifest, LLC",DESIGN,DESIGNER_INDEPENDENT,38914.54,19739.62,13,5,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/6/2020,FALSE,59.3,FALSE
1022506,Babb and Mack Design,DESIGN,DESIGN_FIRM,1067.3,18435.0,4,6,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/20/2022,FALSE,78.6,FALSE
1009970,Room Service 360,RETAIL,SINGLE_LOCATION,27941.28,18113.5,32,25,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/22/2019,FALSE,67.6,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 72 accounts | 553684.77 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1014130,Rittenhouse Home,DESIGN,DESIGN_FIRM,13230.0,17356.15,12,22,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/25/2024,FALSE,66.4,FALSE
1021187,Old Soul Decor LLC,RETAIL,SINGLE_LOCATION,8214.2,16927.06,12,15,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/31/2022,FALSE,74.3,FALSE
1010717,Gacek Design Group,DESIGN,DESIGN_FIRM,8042.0,16493.0,2,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/31/2020,FALSE,61.6,FALSE
1013873,Phillips Window Workroom Inc,DESIGN,DESIGN_FIRM,15203.5,15984.9,7,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/28/2019,FALSE,69.2,FALSE
1005815,Interiors For The Home (DBA Proximity Interiors),DESIGN,DESIGN_FIRM,14214.1,15878.4,14,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/10/2020,FALSE,57.2,FALSE
1009737,Hendrixson's Furniture Ltd,RETAIL,SINGLE_LOCATION,13994.0,15482.19,13,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/30/2021,FALSE,67.9,FALSE
1019489,Far Studio,DESIGN,DESIGN_FIRM,0.0,14985.0,0,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/11/2022,FALSE,55.8,FALSE
1010554,Coco Curtain Studio (PA),DESIGN,DESIGN_FIRM,10995.15,14199.3,7,16,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/30/2019,FALSE,71.2,FALSE
1010222,Studio K Interior Design + Furniture,DESIGN,DESIGN_FIRM,11198.0,14037.0,6,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/19/2020,FALSE,68.3,FALSE
1025668,"White House Development, LLC",RETAIL,SINGLE_LOCATION,9174.2,13857.5,9,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/25/2023,FALSE,62.0,FALSE
1016286,Hendren House,RETAIL,SINGLE_LOCATION,7678.0,12530.0,9,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/17/2020,FALSE,66.0,FALSE
1012181,Payne & Tompkins Construction Design Renovations,DESIGN,DESIGN_FIRM,4572.0,12391.0,3,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/25/2020,FALSE,88.4,FALSE
1009338,Deborah Bettcher - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,5380.0,12179.04,6,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/10/2020,FALSE,71.0,FALSE
1035028,Stillman Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,0.0,11250.6,0,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/8/2025,TRUE,67.6,FALSE
1028151,Nicole Bailey Design,DESIGN,DESIGN_FIRM,0.0,11095.4,0,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/23/2024,FALSE,64.6,FALSE
1020609,Curate Designs LLC,DESIGN,DESIGNER_INDEPENDENT,19125.0,10998.2,13,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/9/2021,FALSE,67.7,FALSE
1000309,Leopold Brothers Furniture,RETAIL,SINGLE_LOCATION,26100.5,10919.0,18,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/18/2020,FALSE,67.3,FALSE
1015758,vestige HOME,DESIGN,DESIGN_FIRM,28273.95,10748.93,16,23,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/30/2020,FALSE,71.9,FALSE
1009227,"BF Interior Design Studio, LLC",DESIGN,DESIGN_FIRM,1341.0,10713.0,2,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/27/2020,FALSE,72.7,FALSE
1006713,Linda Morgan Interiors,DESIGN,DESIGN_FIRM,5856.6,10249.6,7,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/8/2020,FALSE,76.7,FALSE
