REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
272,1286220.32,1358835.12,-150,-29874.0,122," $1,328,961.12 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,17,738822.15,,,,,,,,,
Group 2,83,582053.97,,,,,,,,,
Group 3,22,8085.0,,,,,,,,,
Totals,122,1328961.12,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $738822.15 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003533,Kbw and Associates-Karen Wolf Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,1554.0,10019.0,2,8,FALSE,N,FALSE
1000393,Zaksons,RETAIL,SINGLE_LOCATION,Group 2 High Potential,3235.0,9509.0,4,9,FALSE,N,FALSE
1014477,Alexis Hughes & Co,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,7104.1,9433.76,4,8,FALSE,N,FALSE
1024689,Unearthed Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4632.7,9277.97,10,7,FALSE,N,FALSE
1012383,Perkin Design Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2351.5,8935.06,5,8,FALSE,N,FALSE
1005089,Victoria Balson Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6748.0,8892.04,3,4,FALSE,N,FALSE
1010676,KL Interiors LLC (NJ),DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,425.0,8435.0,1,4,FALSE,N,FALSE
1021140,Christie Perham Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2376.0,8431.0,4,7,FALSE,N,FALSE
1019647,nest (NJ),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,8313.0,0,3,FALSE,N,FALSE
1014062,Melissa Peel Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,7790.0,8113.5,13,12,FALSE,N,FALSE
1004695,Schwartz Design Showroom,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,26807.77,7494.73,20,18,FALSE,N,FALSE
1027174,soft furnishings by stephanie,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,7320.3,0,4,TRUE,N,FALSE
1006121,Tracy Pearce Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4451.81,7219.77,4,7,FALSE,N,FALSE
1003331,"Fazzio Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,14862.8,7163.5,23,14,FALSE,N,FALSE
1011394,Creative Works,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4922.0,6979.5,10,6,FALSE,N,FALSE
1013827,Realm Designs Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1601.75,6844.0,2,2,FALSE,N,FALSE
1010590,Judy King Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1376.0,6696.0,3,4,FALSE,N,FALSE
1009855,Exquisite Design (NJ),DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6476.58,0,2,FALSE,N,FALSE
1013406,Agape Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3310.0,6455.7,1,5,FALSE,N,FALSE
1012988,TC Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,1030.0,6440.0,3,2,FALSE,N,FALSE
1001069,Ashton-Whyte,RETAIL,SINGLE_LOCATION,Group 2 High Potential,2400.0,6406.45,0,3,FALSE,N,FALSE
1004837,Carisa Mahnken Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,6376.5,0,2,FALSE,N,FALSE
1006453,The Beach Home NJ LLC,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,192.0,6329.2,1,4,FALSE,N,FALSE
1004160,"Adler Designs, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,5026.0,5948.84,7,2,FALSE,N,FALSE
1014260,Ricciardi Brothers Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3196.8,5863.0,8,6,FALSE,N,FALSE
1011119,Flynn Thoughts Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9560.2,5477.5,9,3,FALSE,N,FALSE
1035483,British Home Emporium,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,5329.0,0,8,TRUE,N,FALSE
1016339,LALIBERTE INTERIORS LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,13697.4,5293.52,8,2,FALSE,N,FALSE
1006026,Jill Ryan Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,7869.5,4937.0,11,9,FALSE,N,FALSE
1026989,Townehaus,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,537.0,4870.0,2,6,FALSE,N,FALSE
1022344,Pamela Hillner Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4758.0,0,3,FALSE,N,FALSE
1015563,The Briant Group LLC operating as HALDEN Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,4710.0,0,4,FALSE,N,FALSE
1035158,HCO Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1589.0,4707.6,2,2,FALSE,N,FALSE
1013155,"Uniquely Anew, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,1450.0,4681.0,1,4,FALSE,N,FALSE
1037900,Roost and Company LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4637.7,0,5,TRUE,N,FALSE
1011569,Michael Mariotti Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4581.0,0,4,TRUE,N,FALSE
1001157,Interiors at 40 Main,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8446.1,4497.0,7,7,FALSE,N,FALSE
1010892,ID 810 Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,1450.0,4367.0,1,2,FALSE,N,FALSE
1016656,Studio23 Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,4334.96,0,3,FALSE,N,FALSE
1011105,Dulce Feito-Daly LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,256.0,4308.0,1,3,FALSE,N,FALSE
1010315,Michael Felice Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1835.2,4298.7,3,7,FALSE,N,FALSE
1017775,Cecilia B Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4121.0,0,2,FALSE,N,FALSE
1036202,Bridget Catherine Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4080.0,0,5,TRUE,N,FALSE
1011878,"Elizabeth Guest Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4000.0,0,1,FALSE,N,FALSE
1010543,iDesign Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3649.0,3910.0,2,2,FALSE,N,FALSE
1006479,Rachael Liberman Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,-1420.0,3872.0,0,2,FALSE,N,FALSE
1016087,"Decorated Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6475.0,3830.0,2,2,FALSE,N,FALSE
1011622,"Violet's Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2202.0,3588.0,1,3,FALSE,N,FALSE
1037747,White House Luxe Uptown Country,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,3576.5,0,2,TRUE,N,FALSE
1035157,7B Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3575.0,0,3,FALSE,N,FALSE
1035257,Gold Marked Studio,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3511.7,0,3,TRUE,N,FALSE
1016753,ECID,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3439.0,0,1,TRUE,N,FALSE
1010710,P Smith Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,15958.1,3395.72,24,4,FALSE,N,FALSE
1005488,DW Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,419.4,3393.0,2,3,FALSE,N,FALSE
1011772,Demi Horn Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,113.0,3195.0,1,1,FALSE,N,FALSE
1020344,Jute Design House LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2079.0,3187.0,3,4,FALSE,N,FALSE
1022127,"David Muller Interiors,LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6511.0,2984.0,8,6,FALSE,N,FALSE
1010034,"Robert Jennings Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,17554.93,2956.5,12,6,FALSE,N,FALSE
1010216,SS Jesse and Larry Gerber,INTERNAL,SALES_REP,Group 2 Low Potential,4910.75,2885.9,2,4,FALSE,N,FALSE
1010656,Granert Interior Planning,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3302.9,2875.0,3,1,FALSE,N,FALSE
1010310,Designer's Resource (NJ),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4135.0,2872.5,7,1,FALSE,N,FALSE
1010335,Girard Home Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2247.0,2782.0,3,3,FALSE,N,FALSE
1010697,Storer Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8612.0,2675.5,6,3,FALSE,N,FALSE
1021299,Studio Envie,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,2555.2,0,4,FALSE,N,FALSE
1013152,Laurie Digiacomo Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3889.9,2527.13,3,3,FALSE,N,FALSE
1010350,Red Bank Design Center,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11968.19,2524.5,10,7,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 22 accounts | $8085.00 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008261,Garret Home,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,3631.5,2255.0,4,4,FALSE,N,FALSE
1002013,Complete Interiors,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,3245.0,2065.0,2,1,FALSE,N,FALSE
1012684,AIM Interior Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1640.0,0,3,TRUE,N,FALSE
1036877,Stone and Birch,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,915.0,0,1,TRUE,N,FALSE
1037687,Kash Studio Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,790.0,0,2,TRUE,N,FALSE
1023442,Emma Lynn Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,420.0,0,1,TRUE,N,FALSE
1011434,Kelley Karpets,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1010303,Design Consultants (NJ),DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1008610,Creative Window Design Center,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1001627,"Ross and Ross, Inc",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,494.0,0.0,1,0,FALSE,N,FALSE
1021928,Shehadi Commercial Flooring,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1023443,Lauren Hope Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
