REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
132,602852.37,541001.96,-72,-26481.39,60," $514,520.57 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,8,227365.63,,,,,,,,,
Group 2,36,284597.14,,,,,,,,,
Group 3,16,2557.8,,,,,,,,,
Totals,60,514520.57,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | $227365.63 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1020229,Northshire Living,DESIGN,DESIGN_FIRM,Group 2 High Potential,50.0,3760.92,0,3,FALSE,N,FALSE
1006569,Lauras Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8430.0,3510.0,2,2,FALSE,N,FALSE
1015339,Redmond Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,5816.04,3375.0,6,4,FALSE,N,FALSE
1023202,Creative Spaces LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,3344.8,0,4,FALSE,N,FALSE
1035007,Beckwith Builders,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,3325.0,0,1,TRUE,N,FALSE
1007339,Weekender House,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,6713.6,3113.03,6,8,FALSE,N,FALSE
1008977,TMS Architects,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,657.0,3110.75,1,2,FALSE,N,FALSE
1006568,"Thebault Design, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,13802.0,2928.5,4,3,FALSE,N,FALSE
1000235,"HomePort, Ltd.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,2672.0,0,2,FALSE,N,FALSE
1017388,Lauren Milligan DesignDBABackdrop Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4690.0,2634.0,4,4,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 16 accounts | $2557.80 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1037374,HOLSCHER STUDIO ARCHITECTURE & DESIGN LLC,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1975.0,0,1,TRUE,N,FALSE
1036960,Volansky Studio,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,350.0,0,1,TRUE,N,FALSE
1026324,Moss Home Goods,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,168.5,0,1,TRUE,N,FALSE
1037990,Auger Building Company,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,100.0,0,0,TRUE,N,FALSE
1000273,Tina's Home Designs,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1001856,Christine's Crossing,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1002966,Old Brick Furniture-DUPL. USE 1005311,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1008931,The Kimball Shop,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037141,Cushman Design Group,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1020634,the willow,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,2609.0,0.0,2,0,FALSE,N,FALSE
1011170,SS MD Rickers,INTERNAL,SALES_REP,Group 3 Low Potential,136.0,0.0,2,0,FALSE,N,FALSE
1013599,Wall Doctor,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037480,Laurie Coffey Custom Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1026560,New England Home & Interiors,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1006667,Seacoast Rug and Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,4317.0,-8.5,1,0,FALSE,N,FALSE
1035756,MAO Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,-27.2,0,0,TRUE,N,FALSE
,,,,,,,,,,,
