REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
240,750560.15,820619.48,-139,-13496.75,101," $807,122.73 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,12,359696.34,,,,,,,,,
Group 2,54,441365.39,,,,,,,,,
Group 3,35,6061.0,,,,,,,,,
Totals,101,807122.73,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $359696.34 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1018400,Rterior Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1205.0,9035.0,1,4,FALSE,N,FALSE
1008051,RGM Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10400.0,8315.0,2,4,FALSE,N,FALSE
1002454,Norman Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1900.0,8212.0,1,3,FALSE,N,FALSE
1013266,Studio K Design (CA),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6978.0,7518.0,5,3,FALSE,N,FALSE
1026068,LMK Design Company,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,585.0,7482.0,2,6,FALSE,N,FALSE
1009182,Quatrine Home,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,6130.0,7296.0,7,5,FALSE,N,FALSE
1024082,"Corinne Brown ASID, INC dba Brown Design Group",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1485.0,6676.62,2,1,FALSE,N,FALSE
1007747,Maraya Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3728.0,6580.0,4,2,FALSE,N,FALSE
1006230,Matthew Lanphier,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6132.5,0,2,FALSE,N,FALSE
1019371,Connate Design LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,6065.0,0,3,FALSE,N,FALSE
1015604,JLH Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12374.3,6044.75,16,11,FALSE,N,FALSE
1008743,"Studio Berosso, Ltd",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4996.0,6008.45,4,3,FALSE,N,FALSE
1016403,Ethan Charles Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3700.0,5589.6,5,0,FALSE,N,FALSE
