Rep Detail Report: Hana Nassri,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
957,2061665.5,2094988.12,606,212383.53,351,1882604.59,458,48,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 Medium Potential: ,129,819596.66,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,,,,,,,,,,
Group 3 Medium Potential: ,177,201810.93,166,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,,,,,,,,,,
Group 3 High Potential: ,100,52031.81,3,,,,,,,,,,
Group 3 Low Potential: ,461,21633.7,437,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,,,,,,,,,,
Totals,957,2094988.12,606,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | 480005.72 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1016766,Ideazione,DESIGN,DESIGNER_INDEPENDENT,6326.0,17195.1,9,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/17/2020,FALSE,75.7,FALSE
1025436,Dwell Well Designs Co,DESIGN,DESIGNER_INDEPENDENT,1549.0,15881.7,1,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/14/2023,FALSE,70.3,FALSE
1036151,Emerald Studio LLC,DESIGN,DESIGNER_INDEPENDENT,0.0,15370.0,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/12/2025,TRUE,57.9,FALSE
1017492,Mary Rosenberg Interiors,DESIGN,DESIGNER_INDEPENDENT,15638.5,15212.0,12,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/1/2020,FALSE,68.3,FALSE
1016804,Devon Jeanne Designs,DESIGN,DESIGNER_INDEPENDENT,2362.0,14645.25,4,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/22/2020,FALSE,77.1,FALSE
1035000,Drake Anderson,DESIGN,DESIGN_FIRM,150.0,14166.95,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/14/2024,FALSE,53.9,FALSE
1019551,Agiglio Designs,DESIGN,DESIGNER_INDEPENDENT,8900.1,14021.0,4,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/27/2021,FALSE,70.9,FALSE
1018325,ACME Studio,DESIGN,DESIGNER_INDEPENDENT,15155.0,14010.0,1,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/16/2021,FALSE,61.8,FALSE
1027157,Susan Berg Design,DESIGN,DESIGNER_INDEPENDENT,2779.0,13992.0,1,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/13/2024,FALSE,70.6,FALSE
1000802,"Nimbus Nine, Inc.",DESIGN,DESIGN_FIRM,4700.0,13976.0,2,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/13/2019,FALSE,80.5,FALSE
1025388,"Hall & Parlor, Ltd",DESIGN,DESIGN_FIRM,4275.0,13839.84,1,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/29/2024,FALSE,60.1,FALSE
1015649,Tickle Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,13633.0,0,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/23/2020,FALSE,67.5,FALSE
1024399,"Placed Interiors, Inc.",DESIGN,DESIGN_FIRM,9994.0,13320.17,4,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/2/2023,FALSE,69.7,FALSE
1015240,"Poplar Creek Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,625.0,13232.0,2,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/16/2020,FALSE,76.6,FALSE
1020757,LSK Interior Design LLC,DESIGN,DESIGNER_INDEPENDENT,6151.02,13223.19,7,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/29/2021,FALSE,68.2,FALSE
1011687,LSH Interior Design,DESIGN,DESIGNER_INDEPENDENT,9819.61,13041.88,13,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/11/2021,FALSE,69.0,FALSE
1018189,"Moose Designs, LLC",DESIGN,DESIGN_FIRM,0.0,12675.0,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/21/2020,FALSE,73.6,FALSE
1002759,"Jones Group Interiors, Inc.",DESIGN,DESIGN_FIRM,4985.0,12469.0,4,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/14/2020,FALSE,83.3,FALSE
1024071,Thomas Juul Hansen,DESIGN,DESIGN_FIRM,15766.0,12458.67,8,0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/11/2023,FALSE,51.2,FALSE
1027869,HOMA ENT. CORP - DBA Artistry Design,DESIGN,DESIGNER_NO_SHOWROOM,0.0,12381.0,0,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2025,TRUE,68.4,FALSE
1017376,Isabella Patrick Interior Design,DESIGN,DESIGNER_INDEPENDENT,4121.5,12000.0,2,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/21/2020,FALSE,62.8,FALSE
1018415,Andrea Krill Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,5922.55,11838.23,5,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/12/2021,FALSE,74.2,FALSE
1002706,"Shehadi, Inc.",RETAIL,SINGLE_LOCATION,621.0,11804.5,1,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/29/2024,FALSE,70.2,FALSE
1012879,"Dan Ruhland Designs, LLC",DESIGN,DESIGN_FIRM,16295.5,11708.0,6,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/20/2021,FALSE,58.9,FALSE
1013134,"Eclectic Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,3617.8,11661.3,4,14,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/13/2020,FALSE,84.8,FALSE
1022606,Radical Renovations,DESIGN,ARCHITECT_BUILDER,1677.5,11644.0,1,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/3/2022,FALSE,62.2,FALSE
1023084,"MEGAN PISANO DESIGN, LLC",DESIGN,DESIGNER_INDEPENDENT,10742.0,11583.0,6,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/8/2022,FALSE,62.8,FALSE
1004239,Chestnut Hill Home,RETAIL,SINGLE_LOCATION,10330.0,11543.3,4,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/19/2020,FALSE,58.4,FALSE
1016044,Seven Lane Interiors,DESIGN,DESIGNER_INDEPENDENT,16112.0,11440.0,6,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/26/2020,FALSE,76.2,FALSE
1013674,Ali Reeve Design,DESIGN,DESIGNER_INDEPENDENT,6237.8,11410.0,5,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/9/2019,FALSE,64.1,FALSE
1015211,McQuaide Co,DESIGN,DESIGNER_INDEPENDENT,8893.0,11150.64,8,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/15/2020,FALSE,68.8,FALSE
1017202,Outside Interiors,DESIGN,DESIGNER_INDEPENDENT,14659.0,11147.16,6,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/17/2021,FALSE,66.0,FALSE
1005481,"AR Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,15428.0,11000.0,8,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/22/2022,FALSE,64.5,FALSE
1014895,Gala Magrina Design,DESIGN,DESIGN_FIRM,0.0,10840.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/18/2019,FALSE,56.7,FALSE
1016900,Danielle Rose Design Co.,DESIGN,DESIGNER_INDEPENDENT,9012.0,10820.0,3,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/26/2020,FALSE,63.1,FALSE
1034918,Bridget Hansel Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,10785.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/11/2025,TRUE,40.9,FALSE
1022962,Cordaro Design,DESIGN,DESIGNER_INDEPENDENT,12325.5,10772.53,10,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/16/2023,FALSE,58.4,FALSE
1034773,City to Suburb Interiors,DESIGN,DESIGN_FIRM,0.0,10359.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/13/2024,FALSE,62.9,FALSE
1005281,"DW Design and Decor, LLC",DESIGN,DESIGNER_INDEPENDENT,2400.0,10287.8,2,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2020,FALSE,76.5,FALSE
1019298,Antonio Pippo Interiors,DESIGN,DESIGNER_INDEPENDENT,3603.0,10107.4,1,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/7/2021,FALSE,68.8,FALSE
1014399,Natura Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,11166.71,10002.0,9,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/5/2021,FALSE,70.6,FALSE
1000605,"Arbor Living Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,19550.4,9983.01,18,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/23/2020,FALSE,52.3,FALSE
1025924,Tamara Eaton Design,DESIGN,DESIGNER_INDEPENDENT,6256.0,9899.0,5,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/26/2024,FALSE,55.9,FALSE
1022080,Susan Rains Design LLC,DESIGN,DESIGNER_INDEPENDENT,514.5,9620.64,4,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/14/2022,FALSE,76.4,FALSE
1015090,ASH NYC,DESIGN,DESIGN_FIRM,20603.0,9570.0,15,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,62.8,FALSE
1020957,JLS Interior Design,DESIGN,DESIGNER_INDEPENDENT,7163.4,9557.2,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/19/2022,FALSE,62.7,FALSE
1017891,NMG Interiors,DESIGN,DESIGNER_INDEPENDENT,3244.0,9146.0,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/12/2020,FALSE,59.9,FALSE
1021963,Didi Granger Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,8985.27,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/1/2025,TRUE,62.6,FALSE
1014989,Rachel Simone,DESIGN,DESIGN_FIRM,21768.0,8911.0,20,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/9/2020,FALSE,67.7,FALSE
1024727,Natalie Miller Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,8845.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/29/2023,FALSE,60.8,FALSE
1020719,Hackett House Studio,DESIGN,DESIGNER_INDEPENDENT,150.0,8831.5,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/10/2022,FALSE,70.7,FALSE
