Carrie Odendahl,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
929,2961007.03,2549735.24,-574,-526661.45,355," $2,023,073.79 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,24,628709.99,,,,,,,,,
Group 2,207,1331948.02,,,,,,,,,
Group 3,124,62415.78,,,,,,,,,
Totals,355,2023073.79,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 24 accounts | $628709.99 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1035344,Emily Anne Interior Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,14314.0,0,6,TRUE,N,FALSE
1035558,Ali & Shea,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,14157.8,0,2,TRUE,N,FALSE
1014787,Ash Leonard Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2458.8,13699.95,1,4,FALSE,N,FALSE
1016384,Milieu - MO,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,12697.0,13621.37,7,9,FALSE,N,FALSE
1035457,Gwen Griffith Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,13345.0,0,2,TRUE,N,FALSE
1026073,Sissy Yellen Living,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,5648.0,13163.6,5,4,FALSE,N,FALSE
1015480,"JEID Studio, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6418.0,12477.0,6,5,FALSE,N,FALSE
1004262,"Bella Tesoro, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1920.0,12256.0,1,4,FALSE,N,FALSE
1000989,Amy Carman Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,19454.0,11747.0,15,9,FALSE,N,FALSE
1021306,Cooke Interiors Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,12440.0,11615.0,3,5,FALSE,N,FALSE
1013505,"SLS Designs, Inc",DESIGN,DESIGN_FIRM,Group 2 High Potential,1135.0,11597.0,1,10,FALSE,N,FALSE
1004363,Sunriver Design Center,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,10610.0,11371.0,3,6,FALSE,N,FALSE
1026965,Bowen Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8212.49,11113.0,7,2,FALSE,N,FALSE
1017758,Into The West,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5856.08,11048.0,3,4,FALSE,N,FALSE
1036412,Oslo Design Co.,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11047.41,0,10,TRUE,N,FALSE
1035108,Jess Jacobs Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,11037.0,2,8,FALSE,N,FALSE
1026102,Mothers Daughter Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11570.0,10852.0,5,3,FALSE,N,FALSE
1024394,Amber Lisowicz Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11551.0,10637.03,9,10,FALSE,N,FALSE
1003718,Brooke Voss Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,3106.66,10527.0,1,3,FALSE,N,FALSE
1024221,Style House Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,10503.0,0,1,TRUE,N,FALSE
1024441,Willowbrook 1872,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,406.0,10040.0,1,8,FALSE,N,FALSE
1007845,Tres Belle Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4986.5,9966.54,4,6,FALSE,N,FALSE
1009473,Poss Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9667.5,0,5,FALSE,N,FALSE
1008874,DKW Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6469.5,9610.0,5,9,FALSE,N,FALSE
1004608,Mary Best Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2649.0,9375.0,3,4,FALSE,N,FALSE
1009489,It's A Breeze,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7877.4,9307.0,10,9,FALSE,N,FALSE
1020683,Homestead,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,27234.1,9298.0,21,9,FALSE,N,FALSE
1009239,Evolve Decor - Alyssa Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,116.0,9297.6,3,5,FALSE,N,FALSE
1023094,Flemming Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,225.0,9285.0,0,1,FALSE,N,FALSE
1008457,HomeWorks Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8468.7,9220.5,5,6,FALSE,N,FALSE
1005305,Purple Petal Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,667.5,9048.0,1,4,FALSE,N,FALSE
1003582,Amira Rug Gallery,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,19267.12,9035.25,10,4,FALSE,N,FALSE
1002252,For Designers Only,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,12318.39,8990.75,17,12,FALSE,N,FALSE
1023224,Pine Creek Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,16515.5,8868.3,7,4,FALSE,N,FALSE
1018239,Paul Anderson Collection DBA Home outfitters,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7815.0,8851.5,4,4,FALSE,N,FALSE
1018751,Lark Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1892.0,8823.4,6,5,FALSE,N,FALSE
1020721,Tess Golden Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6500.0,8747.16,2,5,FALSE,N,FALSE
1025137,Boffo Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,5405.0,8715.65,4,4,FALSE,N,FALSE
1000396,Home Store,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,31642.0,8709.25,21,9,FALSE,N,FALSE
1025695,Yardley House LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9153.0,8702.3,6,10,FALSE,N,FALSE
1007970,Nicholas Carl Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,8543.0,0,2,FALSE,N,FALSE
1026766,JM&CO DESIGN,DESIGN,DESIGN_FIRM,Group 2 High Potential,9837.9,8504.5,10,5,FALSE,N,FALSE
1025680,Alcove Interiors/Alyssa Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,8476.0,0,8,FALSE,N,FALSE
1009930,Willow Key Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,4387.5,8456.7,8,9,FALSE,N,FALSE
