Laura Hays,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
193,199987.48,234117.19,0,0.0,193," $234,117.19 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,1,20033.83,,,,,,,,,
Group 2,30,201300.01,,,,,,,,,
Group 3,161,12783.35,,,,,,,,,
Totals,193,234117.19,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $20033.83 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008485.0,SJL Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,13650.15,20033.83,6,12,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 30 accounts | $201300.01 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
1035123.0,Spectrum Design Purchasing,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,2444.35,0,2,TRUE,N,FALSE
1016924.0,G.L. Seaman & Co.,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,2410.0,0,1,TRUE,N,FALSE
1027601.0,Ritter Maher Architects,DESIGN,ARCHITECT_BUILDER,Group 3 Medium Potential,670.0,1915.0,2,1,FALSE,Y,TRUE
1036278.0,Royer Commercial Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1507.5,0,2,TRUE,N,FALSE
1035378.0,"E&S Flooring, LLC",RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,1281.0,0,1,TRUE,N,FALSE
1012734.0,Curve Hospitality,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,1225.0,0,3,TRUE,N,FALSE
1017951.0,Ellie Aiello Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,17780.8,993.0,11,2,FALSE,Y,TRUE
1026938.0,Holm Design LLC,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,885.0,0,3,FALSE,Y,TRUE
1037558.0,"GuestSpaces, LLC",DESIGN,HOSPITALITY,Group 3 High Potential,0.0,115.0,0,1,TRUE,N,FALSE
1028135.0,Deleo Fletcher Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,7.5,0,0,TRUE,N,FALSE
1009772.0,Lockwood 2 Creations,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1000626.0,Jones Walker LLC,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE
1000770.0,Neil Locke and Associates,DESIGN,HOSPITALITY,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1006953.0,Richmond American Homes,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1003196.0,Millennium Designs Inc,DESIGN,HOSPITALITY,Group 3 Low Potential,480.0,0.0,2,0,FALSE,Y,TRUE
1005665.0,ClubCorp,Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1006017.0,"Fertitta Hospitality, LLC",Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1012728.0,Ink and Oro dba 5G Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,TRUE
