Vandana Kaku,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
702,2312696.59,2035345.12,-463,-180341.88,239," $1,855,003.24 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,22,871261.03,,,,,,,,,
Group 2,145,957439.91,,,,,,,,,
Group 3,72,26302.3,,,,,,,,,
Totals,239,1855003.24,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 22 accounts | $871261.03 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1019627,GERMAIN,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,13064.0,0,6,FALSE,N,FALSE
1017300,Design by the Jonathans,DESIGN,DESIGN_FIRM,Group 2 High Potential,6725.0,13019.0,6,8,FALSE,N,FALSE
1002295,Viva Carpets,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,40535.5,12595.0,8,7,FALSE,N,FALSE
1037596,"Christine Dahl Interior Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,12183.81,0,2,TRUE,N,FALSE
1025682,Workroom Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3601.0,12002.5,4,4,FALSE,N,FALSE
1019382,Melissa Fisher HOME LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9894.0,11990.0,6,5,FALSE,N,FALSE
1022610,Vannie Paradis Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,330.0,11675.0,0,4,FALSE,N,FALSE
1025208,Deborah Schmidt Design Studio,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11671.0,0,5,TRUE,N,FALSE
1002481,Krone Furniture Corporation,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,33540.67,11623.43,23,8,FALSE,N,FALSE
1005132,Welch Company,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10289.33,11360.31,12,4,FALSE,N,FALSE
1014223,Slate,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,13586.0,11200.0,8,16,FALSE,N,FALSE
1018800,Becca Interiors,DESIGN,DESIGN_FIRM,Group 2 Low Potential,13230.0,11088.0,2,0,FALSE,N,FALSE
1015723,Naika Perez Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,10887.0,0,3,FALSE,N,FALSE
1019083,Addison West,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,10847.56,2,3,FALSE,N,FALSE
1018398,Lawless Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4755.0,10548.0,3,5,FALSE,N,FALSE
1005538,Sacris Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10194.0,10530.0,2,4,FALSE,N,FALSE
1010993,Lisa Scheff Designs,DESIGN,DESIGN_FIRM,Group 2 High Potential,5259.69,10435.05,14,21,FALSE,N,FALSE
1022062,Cottonstone Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4192.0,10255.0,4,2,FALSE,N,FALSE
1001721,J. Seitz and Co,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7828.0,9261.0,12,6,FALSE,N,FALSE
1021976,Carly Jane Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,3458.0,9073.0,1,6,FALSE,N,FALSE
1018477,LCB Design dba Foundry House,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,43689.67,8922.15,17,6,FALSE,N,FALSE
1022009,Home Remedies,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,9129.0,8806.0,8,7,FALSE,N,FALSE
1026642,Heather Vaughan Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,9278.5,8623.0,7,6,FALSE,N,FALSE
1017700,Cecilia Walker Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,237.5,8395.0,1,2,FALSE,N,FALSE
1006763,"Housewarmings, Inc. (CT)",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,5130.8,8343.27,7,9,FALSE,N,FALSE
1021554,Jessica Bell Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,25.0,8337.2,1,1,FALSE,N,FALSE
1000241,K.Powers and Company,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,8091.0,0,1,FALSE,N,FALSE
1018331,Balanced Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4587.5,7914.0,8,8,FALSE,N,FALSE
1022397,Eleven Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,3135.0,7723.28,1,4,FALSE,N,FALSE
1036221,LTD Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,7608.0,0,2,TRUE,N,FALSE
1013398,Honey and Fitz,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14138.0,7503.0,11,5,FALSE,N,FALSE
1007983,Lekker Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,7462.0,1,2,FALSE,N,FALSE
1010719,Pinney Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7240.0,7275.0,2,1,FALSE,N,FALSE
1001356,Timeless Interiors (MA),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5233.0,7263.0,7,6,FALSE,N,FALSE
1036839,Sweenor Builders Inc,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,7200.0,0,3,TRUE,N,FALSE
1026090,Jay Adams Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2255.0,7199.0,1,6,FALSE,N,FALSE
1015751,Pear Tree Point Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,3532.0,7197.0,1,4,FALSE,N,FALSE
1008544,Sarah Ponden Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2632.0,7127.0,6,11,FALSE,N,FALSE
1001708,Urban Design Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6459.28,6932.5,7,7,FALSE,N,FALSE
1019415,Acorn hill design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8559.0,6717.5,6,4,FALSE,N,FALSE
1007738,Middlebury Furniture & Home Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,6616.74,6650.0,7,13,FALSE,N,FALSE
1023693,Carta Creatives,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3796.0,6611.75,1,2,FALSE,N,FALSE
1036725,Willow Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,6577.3,0,6,TRUE,N,FALSE
1002314,Stetson Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1559.0,6523.3,1,6,FALSE,N,FALSE
1026747,"John Cinti Designs, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5139.3,6508.35,2,4,FALSE,N,FALSE
1019067,Lisa Ritchie Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1302.0,6469.5,1,5,FALSE,N,FALSE
1020125,Mally Skok Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4315.0,6260.0,2,1,FALSE,N,FALSE
1011909,Stamm and Black,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11047.2,6238.0,9,8,FALSE,N,FALSE
1035491,R Campbell Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,6193.35,0,3,TRUE,N,FALSE
1036721,Taste Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,6160.0,0,3,TRUE,N,FALSE
1005808,Casabella,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,6107.0,0,3,FALSE,N,FALSE
